bread_name,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,robot_world_x,robot_world_y,robot_world_z,robot_yaw_rad,robot_to_object_yaw_rad,object_yaw_relative_to_robot_rad,object_yaw_relative_to_approach_rad,cut_normal_relative_to_robot_rad,cut_normal_relative_to_approach_rad,cut_normal_approach_abs_angle_rad,cut_normal_approach_parallel_score,cut_normal_approach_perpendicular_score,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,motion_approach_completed,motion_waypoint_count,motion_stopped_waypoint_index,motion_stopped_waypoint_fraction,motion_stopped_waypoint_x,motion_stopped_waypoint_y,motion_stopped_waypoint_z,motion_stopped_distance_m,motion_progress_note,execution_time_s,failure_count,failure_reasons,robot_name_for_features,robot_name_feature,robot_name_internal,robot_feature_extraction_ok,robot_feature_error,robot_class,robot_has_base,robot_has_torso,robot_has_neck,robot_full_body_controlled,robot_drive_type,robot_controlled_connection_count,robot_hardware_dof_count,robot_base_bbox_width_m,robot_base_bbox_depth_m,robot_base_bbox_height_m,robot_base_bbox_volume_m3,robot_arm_count,robot_manipulator_count,robot_tool_frame_min_z_m,robot_tool_frame_max_z_m,robot_arm_root_min_z_m,robot_arm_root_max_z_m,robot_arm_reach_xy_max_m,robot_arm_reach_xyz_max_m,robot_sensor_count,robot_camera_min_z_m,robot_camera_max_z_m,object_z_minus_robot_tool_frame_max_z_m,object_top_z_minus_robot_tool_frame_max_z_m
bread_0001,bread_cutting,d010a849-5ae3-4747-b468-242c2244598c,bread_0001,910001,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,tiago,failed,,knife_left,primary,6,5,6,True,False,True,rotate_z_180deg,-0.153728,-0.05902,-0.03512,0.160858,0.057498,0.042917,0.314585,0.116518,0.078038,0.00286045,1.554687,0.888686,0.88,map,0.0,0.0,0.0,0.0,,,,1.554687,0.888686,0.88,0.0,0.0,-0.623754,0.781621,0.0,-0.0,-1.347073,-0.128728,-0.000761,-0.031218,0.07947,0.5,0.05,1.0,0.0,0.0,0.221861,-0.975078,0.0,-1.347073,,,,,,,,,,,,,saw,0.03,4,13,True,701.0,0.0,0.0,1.5253850749317155,1.0140365427629223,0.9624267936125396,0.194099610538616,completed,62.8242,6,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 375 ticks in CuttingAction (status=wiggle, max link displacement 0.01509m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in CuttingAction (status=wiggle, max link displacement 0.00295m over 25 ticks). | RIGHT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in CuttingAction (status=stagnant, max link displacement 0.00001m over 25 ticks). | LEFT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in CuttingAction (status=stagnant, max link displacement 0.00002m over 25 ticks). | RIGHT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 425 ticks in CuttingAction (status=stagnant, max link displacement 0.00048m over 25 ticks). | LEFT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 425 ticks in CuttingAction (status=stagnant, max link displacement 0.00008m over 25 ticks).",tiago,tiago,tiago,True,,Tiago,True,True,True,False,DifferentialDrive,29.0,29.0,0.4995494782924652,0.5,0.2749999985098839,0.0686880528930206,2.0,2.0,0.6864999999999999,0.6864999999999999,0.8885,0.8885,1.141225040734736,1.1589644488076414,1.0,1.0665,1.0665,0.19350000000000012,0.23251900000000014
bread_0002,bread_cutting,d010a849-5ae3-4747-b468-242c2244598c,bread_0002,910001,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,tiago,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,1.547967,0.280099,0.88,map,0.0,0.0,0.0,0.0,,,,1.547967,0.280099,0.88,0.0,0.0,0.955019,-0.296545,0.0,-0.0,-2.539446,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.824122,-0.566413,0.0,-2.539446,,,,,,,,,,,,,saw,0.03,4,13,True,584.0,438.0,0.7512864493996569,1.457739294562509,0.2188557034119514,0.9510764562902244,0.1117166441922519,completed,19.9761,0,,tiago,tiago,tiago,True,,Tiago,True,True,True,False,DifferentialDrive,29.0,29.0,0.4995494782924652,0.5,0.2749999985098839,0.0686880528930206,2.0,2.0,0.6864999999999999,0.6864999999999999,0.8885,0.8885,1.141225040734736,1.1589644488076414,1.0,1.0665,1.0665,0.19350000000000012,0.22601550000000015
bread_0003,bread_cutting,d010a849-5ae3-4747-b468-242c2244598c,bread_0003,910001,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,tiago,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,1.622336,-0.373563,0.88,map,0.0,0.0,0.0,0.0,,,,1.622336,-0.373563,0.88,0.0,0.0,-0.618833,0.785522,0.0,-0.0,-1.334513,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.234091,-0.972215,0.0,-1.334513,,,,,,,,,,,,,saw,0.03,4,13,True,584.0,496.0,0.8507718696397941,1.609590846399419,-0.4887967049936342,0.8831905988023838,0.6370398936740483,completed,24.1055,0,,tiago,tiago,tiago,True,,Tiago,True,True,True,False,DifferentialDrive,29.0,29.0,0.4995494782924652,0.5,0.2749999985098839,0.0686880528930206,2.0,2.0,0.6864999999999999,0.6864999999999999,0.8885,0.8885,1.141225040734736,1.1589644488076414,1.0,1.0665,1.0665,0.19350000000000012,0.22601550000000015
bread_0004,bread_cutting,d010a849-5ae3-4747-b468-242c2244598c,bread_0004,910001,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,tiago,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,1.590074,-0.027803,0.88,map,0.0,0.0,0.0,0.0,,,,1.590074,-0.027803,0.88,0.0,0.0,-0.770417,0.637541,0.0,-0.0,-1.758989,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.187084,-0.982344,0.0,-1.758989,,,,,,,,,,,,,saw,0.03,4,13,True,584.0,438.0,0.7512864493996569,1.569049417719862,-0.1348067789708674,0.9510764562902244,0.2912884487917148,completed,23.9006,0,,tiago,tiago,tiago,True,,Tiago,True,True,True,False,DifferentialDrive,29.0,29.0,0.4995494782924652,0.5,0.2749999985098839,0.0686880528930206,2.0,2.0,0.6864999999999999,0.6864999999999999,0.8885,0.8885,1.141225040734736,1.1589644488076414,1.0,1.0665,1.0665,0.19350000000000012,0.22601550000000015
bread_0005,bread_cutting,d010a849-5ae3-4747-b468-242c2244598c,bread_0005,910001,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,tiago,failed,,knife_left,primary,6,5,6,True,False,True,rotate_z_180deg,-0.153728,-0.05902,-0.03512,0.160858,0.057498,0.042917,0.314585,0.116518,0.078038,0.00286045,1.512352,-0.438439,0.7125,map,0.0,0.0,0.0,0.0,,,,1.512352,-0.438439,0.7125,0.0,0.0,-0.845176,0.534489,0.0,-0.0,-2.013788,-0.128728,-0.000761,-0.031218,0.07947,0.5,0.05,1.0,0.0,0.0,-0.428644,-0.903474,0.0,-2.013788,,,,,,,,,,,,,saw,0.03,4,13,True,701.0,70.0,0.1,1.5234126442108769,-0.3012059287182205,0.7164472200591715,0.6145430952367121,completed,59.4386,6,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 425 ticks in CuttingAction (status=stagnant, max link displacement 0.00003m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 350 ticks in CuttingAction (status=stagnant, max link displacement 0.00004m over 25 ticks). | RIGHT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00082m over 25 ticks). | LEFT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00004m over 25 ticks). | RIGHT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 200 ticks in CuttingAction (status=stagnant, max link displacement 0.00004m over 25 ticks). | LEFT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 200 ticks in CuttingAction (status=stagnant, max link displacement 0.00004m over 25 ticks).",tiago,tiago,tiago,True,,Tiago,True,True,True,False,DifferentialDrive,29.0,29.0,0.4995494782924652,0.5,0.2749999985098839,0.0686880528930206,2.0,2.0,0.6864999999999999,0.6864999999999999,0.8885,0.8885,1.141225040734736,1.1589644488076414,1.0,1.0665,1.0665,0.026000000000000134,0.06501900000000016
bread_0006,bread_cutting,d010a849-5ae3-4747-b468-242c2244598c,bread_0006,910001,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,tiago,failed,,knife_left,primary,6,5,6,True,False,True,rotate_z_180deg,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,1.566514,2.040446,1.54,map,0.0,0.0,0.0,0.0,,,,1.566514,2.040446,1.54,0.0,0.0,0.993939,0.109933,0.0,-0.0,2.921282,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.97583,0.218533,0.0,2.921282,,,,,,,,,,,,,saw,0.03,4,13,True,584.0,552.0,0.9468267581475128,1.4687269558202445,2.102792263144996,1.5139847297407705,0.7526289094629897,completed,68.8534,6,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 375 ticks in CuttingAction (status=wiggle, max link displacement 0.01278m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 325 ticks in CuttingAction (status=stagnant, max link displacement 0.00043m over 25 ticks). | RIGHT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 550 ticks in CuttingAction (status=stagnant, max link displacement 0.00044m over 25 ticks). | LEFT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 425 ticks in CuttingAction (status=wiggle, max link displacement 0.00430m over 25 ticks). | RIGHT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 350 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks). | LEFT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 700 ticks in CuttingAction (status=stagnant, max link displacement 0.00003m over 25 ticks).",tiago,tiago,tiago,True,,Tiago,True,True,True,False,DifferentialDrive,29.0,29.0,0.4995494782924652,0.5,0.2749999985098839,0.0686880528930206,2.0,2.0,0.6864999999999999,0.6864999999999999,0.8885,0.8885,1.141225040734736,1.1589644488076414,1.0,1.0665,1.0665,0.8535000000000001,0.8860155000000001
bread_0007,bread_cutting,d010a849-5ae3-4747-b468-242c2244598c,bread_0007,910001,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,tiago,failed,,knife_left,primary,6,5,6,True,False,True,rotate_z_180deg,-0.153728,-0.05902,-0.03512,0.160858,0.057498,0.042917,0.314585,0.116518,0.078038,0.00286045,1.501649,1.691984,1.54,map,0.0,0.0,0.0,0.0,,,,1.501649,1.691984,1.54,0.0,0.0,-0.215788,0.97644,0.0,-0.0,-0.434997,-0.128728,-0.000761,-0.031218,0.07947,0.5,0.05,1.0,0.0,0.0,0.906871,-0.421407,0.0,-0.434997,,,,,,,,,,,,,saw,0.03,4,13,True,701.0,110.0,0.1571428571428571,1.4017916347909831,1.7825624541120677,1.5119841403065222,0.5238031720392718,completed,59.9366,6,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 425 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00008m over 25 ticks). | RIGHT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks). | LEFT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00002m over 25 ticks). | RIGHT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 375 ticks in CuttingAction (status=wiggle, max link displacement 0.01184m over 25 ticks). | LEFT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 275 ticks in CuttingAction (status=stagnant, max link displacement 0.00002m over 25 ticks).",tiago,tiago,tiago,True,,Tiago,True,True,True,False,DifferentialDrive,29.0,29.0,0.4995494782924652,0.5,0.2749999985098839,0.0686880528930206,2.0,2.0,0.6864999999999999,0.6864999999999999,0.8885,0.8885,1.141225040734736,1.1589644488076414,1.0,1.0665,1.0665,0.8535000000000001,0.8925190000000001
bread_0008,bread_cutting,d010a849-5ae3-4747-b468-242c2244598c,bread_0008,910001,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,tiago,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,-1.148161,0.821527,0.882,map,0.0,0.0,0.0,0.0,,,,-1.148161,0.821527,0.882,0.0,0.0,0.681801,0.731538,0.0,-0.0,1.500443,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.070295,0.997526,0.0,1.500443,,,,,,,,,,,,,saw,0.03,4,13,True,584.0,30.0,0.0514579759862778,-1.1929565799843334,0.7213216914561307,0.907931063009243,0.2620636987876074,completed,19.7546,0,,tiago,tiago,tiago,True,,Tiago,True,True,True,False,DifferentialDrive,29.0,29.0,0.4995494782924652,0.5,0.2749999985098839,0.0686880528930206,2.0,2.0,0.6864999999999999,0.6864999999999999,0.8885,0.8885,1.141225040734736,1.1589644488076414,1.0,1.0665,1.0665,0.19550000000000012,0.22801550000000015
bread_0009,bread_cutting,d010a849-5ae3-4747-b468-242c2244598c,bread_0009,910001,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,retry_after_rotation,rotated_90,False,,False,False,False,True,tiago,success,RIGHT,knife_right,rotated_90,3,2,2,True,True,True,rotate_z_90deg,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,-1.191709,2.582611,0.882,map,0.0,0.0,0.0,0.0,,,,-1.191709,2.582611,0.882,0.0,0.0,0.997146,-0.075503,0.0,-0.0,-2.990442,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.988599,-0.150576,0.0,-2.990442,,,,,,,,,,,,,saw,0.03,4,13,True,584.0,469.0,0.8044596912521441,-1.293760747075047,2.52842176058786,0.9067633199831868,0.5066630165289571,completed,33.2987,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 525 ticks in CuttingAction (status=stagnant, max link displacement 0.00036m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 475 ticks in CuttingAction (status=wiggle, max link displacement 0.00299m over 25 ticks).",tiago,tiago,tiago,True,,Tiago,True,True,True,False,DifferentialDrive,29.0,29.0,0.4995494782924652,0.5,0.2749999985098839,0.0686880528930206,2.0,2.0,0.6864999999999999,0.6864999999999999,0.8885,0.8885,1.141225040734736,1.1589644488076414,1.0,1.0665,1.0665,0.19550000000000012,0.22801550000000015
bread_0010,bread_cutting,d010a849-5ae3-4747-b468-242c2244598c,bread_0010,910001,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,tiago,failed,,knife_left,primary,6,5,6,True,False,True,rotate_z_180deg,-0.20497,-0.078693,-0.046827,0.214477,0.076664,0.057223,0.419447,0.155357,0.10405,0.00678033,-0.995852,1.343338,0.882,map,0.0,0.0,0.0,0.0,,,,-0.995852,1.343338,0.882,0.0,0.0,-0.745877,0.666084,0.0,-0.0,-1.683701,-0.17997,-0.001015,-0.041624,0.059602,0.5,0.05,1.0,0.0,0.0,-0.112665,-0.993633,0.0,-1.683701,,,,,,,,,,,,,saw,0.03,4,13,True,934.0,748.0,0.8017148981779206,-0.9518718297937604,1.147660325449606,0.9234240466787365,0.1928170266181558,completed,53.9179,6,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 250 ticks in CuttingAction (status=stagnant, max link displacement 0.00002m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 250 ticks in CuttingAction (status=stagnant, max link displacement 0.00003m over 25 ticks). | RIGHT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 275 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks). | LEFT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 275 ticks in CuttingAction (status=stagnant, max link displacement 0.00027m over 25 ticks). | RIGHT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 450 ticks in CuttingAction (status=stagnant, max link displacement 0.00103m over 25 ticks). | LEFT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 450 ticks in CuttingAction (status=wiggle, max link displacement 0.01060m over 25 ticks).",tiago,tiago,tiago,True,,Tiago,True,True,True,False,DifferentialDrive,29.0,29.0,0.4995494782924652,0.5,0.2749999985098839,0.0686880528930206,2.0,2.0,0.6864999999999999,0.6864999999999999,0.8885,0.8885,1.141225040734736,1.1589644488076414,1.0,1.0665,1.0665,0.19550000000000012,0.2475250000000001
